Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
19 Crimes The Block Sauvignon Blanc 2020,White Wine,9.99,750,2.5,7,Sauvignon Blanc from Australia,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIb0gB8K_M5LYhKtwyv0HQPsf0pSvdA5BEAZFgGPbUPF-vu_RytVxnitur5w&s
Agricola de Borja Vina Borgia 2020,Red Wine,9.99,750,3.3,5,Grenache from Campo de Borja / Spain,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmxYbbKw22h2LG62rmN1-0GX59538M5vG9dn4t78kc2qRW07TnrUUEaZPUgQ&s
Alto Tierruca Reserva Pinot Noir 2020,Red Wine,9.99,750,4.1,17,Pinot Noir from Curico Valley / Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9f72GqjmSffqowDxmh7yHOrP_xXrmg_jlvh219lxHesIRaQkMkVTIAOnornU&s
Altos las Hormigas Colonia Las Liebres Bonarda 2020,Red Wine,9.99,750,3.7,45,Bonarda from Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC1T9DtgKHXtfsmcYbUwun9oTRusjMjUWJ7ADX4oFH1ca6xlqUbjk3IBpSrnY&s
Amalaya Blanco 2021,White Wine,9.99,750,0,0,Torrontes from Argentina,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQE5hHbE6yJv1Kc4oMDrQI6xv4SpjTFJef8hg0HwrYirA9Yy3QZ6BaxNkw-&s
Atalaya Laya 2020,Red Wine,9.99,750,3.7,31,Other Red Blends from Spain,14.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4uWoZoStT8B5beH8lSbIPBA4YGAtjipCu36iqRMz0mSPoghrik-Veng_UMf4&s
AVA Grace Pinot Grigio 2020,White Wine,9.99,750,0,0,Pinot Gris /Grigio from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXg15sUdfWXWLpLiUFI3xuXxLlnreeGFz-Z7gQ-Mr4HwFzqwhOGFZLZXv7xWg&s
Bellafina Pink Moscato,Pink and Rosé,9.99,750,3.9,113,Rosé from Veneto / Italy,10.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXidJdoBB6e73rv5zVMi3lqX355sFebBtOYBNrbc1DDpmza_tT2e-VuqHjoxg&s
Bogle Petite Sirah 2019,Red Wine,9.99,750,4,6,Petite Sirah from California,14.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHiZjWUTGrg7VfLKfzmIwAA29ygVX2JbsTc5vj_ZJpABKATM4UF7rs1Vtp3Hk&s
Casa Santos Lima Lab Red 2019,Red Wine,9.99,750,0,0,Other Red Blends from Portugal,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjPt0N9FnHMPBjCiFQcFz6UQehRipmHc5w6TIiIi1SFtTH-SDXNT24vbqi2Y4&s
