name,maker,type,img,bottlesize,alcohol,country,city,website
Guglhof Gin Alpin,Anton Vogl,Austrian Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmrTop6_SoixVbSx4g5LZYnGSL4WO--W7Q5LCSwksBFA366QRDecpC2rZTqMA&s,0.7l,42%,Austria,Hallein,http://www.guglhof.at
Hayman's Sloe Gin,Hayman Distillers London,Sloe Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxPo1n5guLh66hkIUxAsetwm2xb0GQ8y3mAGz_Xe0QsOeYvQj_ZMisQl2TrD0&s,0.7l,26%,England,London,
Hendrick's Gin,William Grant & Sons,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4s68LubV-KIKyv_IZUUa6BX3F7GfgSjjrv8l_G-qcfb6nJJ1_E5NVDCKg7g&s,0.7l,41.40%,Schottland,,http://www.hendricksgin.com
Magellan Blue Gin,Angeac Distillery,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI_FMZOFDwCgkeLMWWi0L-QQRIx3l0KLfgkcXXtukEQs27mHYLInLw4KXbSQ&s,1l,44%,France,,http://www.magellangin.com
Martin Miller's Gin Westbourne Strength,Martin Miller's,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzT-adnXy_cZ4s9cFIb2Y6cPVgpuNQ9nQkhgJkvSlQq76NFPyc-arzsng0O_U&s,0.7l,45.20%,England,London,http://www.martinmillersgin.com
Martin Miller's London Dry Gin,The Reformed Spirits Company,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToFrcwhjEK7mDUZQoxH2iKQwmtmQTxSbvr_g9iGMw-TFLJOSrPpIgYuHA0Wg&s,0.7l,40%,England,,http://www.martinmillersgin.com
Master of Malt Cream Gin,Master Of Malt,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxFJQNH5907xpIZB9TTPMaEDMoYEMu6OuxkPOeDM6ItZ6fgLHwcZLjm5YNtZc&s,0.7l,43.80%,England,Tunbridge Wells,http://www.masterofmalt.com
Mayfair London Dry Gin,Mayfair Brands,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf4LnvTBQTnrl5l_uGRaxxtr8o9boF2t2-cDKjPkOLolYD4eBHJw6X29d6qA&s,0.7l,43%,England,London,http://www.mayfairbrands.com
Mikkeller Botanical and Hoppy Gin,Mikkeller ApS,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO9I6QgADMAvYoWv67hhFrTeeCstvK8p3yRhoUQe8x6hDUqZUOyLlJ3LC2&s,0.7l,44%,Denmark,Kopenhagen,http://mikkellerspirits.dk
MONKEY 47 - Schwarzwald Dry Gin,Black Forest Distillers GmbH,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZskXVngagEMy2w4pR5uXs6LAswGtraU4XnM0gZ4Cfzb2MRnp_AQSZt8IJAg&s,0.7l,47%,Germany,Lossburg-Betzweiler,http://www.monkey47.com
MONKEY 47 - Sloe Gin,Black Forest Distillers GmbH,Sloe Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnLGGsYJtA5soTAK2e-0DCpyDjITQxJFymK5dwBKtpOJkOAKladaT0TcAZUmk&s,0.5l,29%,Germany,Lossburg-Betzweiler,http://www.monkey47.com
MRDC River Rose Gin,Mississippi River Distilling Company,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnudDqssNq_Y8aagqIW8k-1oBCtUPvoLs9sP1wJJsBmKCQUJ1_uyHYjAk4cBw&s,0.7l,40%,USA,Le Claire,
No. 209 Gin 5XD,Distillery No. 209,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFlSbpnr4Awil7NOk1xIUDVBIyRRRvk0c_pjPZUPzqylT5XjeuGpdFcgDjBcs&s,1l,46%,USA,San Fransisco,http://www.distillery209.com/gin
No. 3 London Dry Gin,Berry Bros. & Rudd,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPHcr4IMPbWTQJmLSJv7TiltWBAu_tQxPvzBwZxIaG1-bFVZoPrisj_Hsq8Q&s,0.7l,46%,England,London,http://www.no3gin.com
Nutmeg Gin,Nicole und Oliver Matter,Matters Hyssop Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJUgHpScgnGXLLpcKJmnty5CFOgDUwmwpq59Cqu6rOLDj8eK9Ui1Obye71MA&s,0.7l,44%,Swiss,Kallnach,http://www.erlebnisbrennerei.ch
Omen Gin,Lukas Krausse,Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlS8BCEYMdO6_wSlcz2OhKmLyqpWFzQENDvz2eFZx6zJZp2qujtXRHZADhqSc&s,0.5l,47%,Germany,Hamburg,
Pimm's No.1,Pimm's London W69DP,Gin Special,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl2M-kctE-oLiO2LvBsWI9xhDXTCr2U-1rgGDuoEAdBHG2W64ChG1wyTTh5m4&s,0.7l,25%,England,London,http://www.anyoneforpimms.com
Plymouth Original,Black Friars Distillery,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_MMF-6L3Ov-1LheDyYChJtZ84H0gfBCQhFhNIEdg-ZsgRvL_1HA3ClTIyQzw&s,1l,41.20%,England,Plymouth,http://www.plymouthgin.com
Plymouth Navy Strength,Black Friars Distillery,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3jtVtAxZ2nanuQ-af2Bk0X0_igf8dKRX3Cl8YaGmZlcwXzhrxhMD3MlRC-xA&s,1l,57%,England,Plymouth,http://www.plymouthgin.com
Plymouth Navy Strength,Black Friars Distillery,Sloe Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3jtVtAxZ2nanuQ-af2Bk0X0_igf8dKRX3Cl8YaGmZlcwXzhrxhMD3MlRC-xA&s,1l,57%,England,Plymouth,http://www.plymouthgin.com
Professor Cornelius Ampleforth's Bathtub Gin,Professor Cornelius Ampleforth's,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA4jVwILL4WJJbgR6iEzO4TtfaKQXkWWYL2XdZgKrlYdPnSY6UE6gLKQz8dlY&s,0.7l,43.30%,England,,
Professor Cornelius Ampleforth's Bathtub Gin Navy Strength,Professor Cornelius Ampleforth's,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMepghkvH9RLfq6QMDucVcQyqlVA4ytZtwPXV-dr04HlMNzxTN_hLrBzaS4Q&s,0.7l,57%,England,,
Professor Cornelius Ampleforth's Cask-Aged Gin,Professor Cornelius Ampleforth's,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHVynudcLjDv33t-mMk_wC_LpYmttFoXTSShTe25GSNtPezoGVMiDseL1zwQ&s,0.5l,43.30%,England,,
Saffron Gin,Gabriel Boudier Destillerie,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuDN5C0mRkgozYSZm_KNVtZek9xyagHxNgZEVpV_TnP7gFmmEafSYAw1GmwA&s,0.7l,40%,France,Dijon,
Sears Cutting Edge Gin,SEARS,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv7VUkJxEZ-RapDgoMIFOiJV-Cu7E4NTBDjkaupQ2XdGHSzkJPIYqBITBV8qM&s,0.7l,44%,Germany,Paderborn,http://www.sears-gin.com/de/
Southern Artisan Spirits Cardinal Gin,Southern Artisan Spirits (SAS),Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMyml0iSULoDPu7PpA_sWiW0AZottNVVPI7nBX728KX8CeM0_dTRKDX2K2dA&s,0.7l,42%,USA,Kings Mountain,http://www.southernartisanspirits.com
Spectator Gin,Master Of Malt,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ94M_fX3NCLD4tDnBBDL9BF_QTXCLvAu0UT0VffKZul2XdP1vxbeaXGFhmVnI&s,0.3l/0.7l,42.40%,England,Tunbridge Wells,http://www.masterofmalt.com
Sylvan Gin,Koval Inc.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4oTrjrpo4xC24hFMFYUHIDY627AOS58bFaK7OwNtfKsC1wU56ZawiI7pzMQ&s,0.5l/1l,47%,USA,Chicago,http://aboutkoval.com
Sylvius Gin,Onder de Boompjes,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRBNknpwfbCqqpXP-bJKLxQz6LTFE-HfkJex_3hYW_AK10SD2uE5P0Fyc2Jbw&s,0.7l,45%,Netherland,Schiedam,http://www.sylviusgin.eu
Tanqueray Gin,Charles Tanqueray & Co.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOWJPmi6Vosk-k3NIoSEOdgrEdhoJiUXXYn7szcYDI5dqa7wBJybzGhSrBlA&s,0.7l/1l,47.30%,England,London,http://www.tanqueray.com
Tanqueray Malacca Gin (Limited Edition 2013),Charles Tanqueray & Co.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvF0BSG84bu3EB_lPqdFw9iaqB1HXKmk1QIugB9PUXRbQSItb-NXxBAlYlJA&s,1l,40%,England,London,http://www.tanqueray.com
Tanqueray No. 10 Gin,Charles Tanqueray & Co.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYXgPUGa-m0qYp_jh6cTYNIYyqL0uwEma1E13Cz4QuCtiYFjyHczs-ZzGhyqk&s,0.7l/1l,47.30%,England,London,http://www.tanqueray.com
Tanqueray Gin Rangpur,Charles Tanqueray & Co.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe1m0G0xO1jqtJKXuvC4zYwpqLCmqHA4U0tWlotwwSF5XLhmqyS0LLNmZ-DsE&s,1l,41.30%,England,London,http://www.tanqueray.com
The Botanist Islay Dry Gin,Bruichladdich distillery,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlmTJHS5gheJ5FY9-h_BVa-DPHyARbWtoFgH7QpnEmUR_d0qkFczpY2JmXx_g&s,0.7l,46%,Scotland,Glasgow,http://www.bruichladdich.com
The Duke Munich Dry Gin,THE DUKE Destillerie,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR77fHc6TCOF9xZFE6GnZslnqnO1kgzj2StLWXNlZXODgQKE_Yy8FvejP5IQQ&s,0.7l,45%,Germany,Munic,http://www.theduke-gin.de
The London Gin No.1 Original Blue Gin,The London Gin Company Ltd.,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_0AxOPj_o3hmBr2_CkFgusaWlQQzUZgFw1OpfQmwIliEjpG5CTOniNNeeLw&s,0.7l,47%,England,London,
Whitley Neill London Dry Gin,Whitley Neill Ltd,Dry Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyNn8iMqmjZU5Y07mmOfYASuK0AifuqZhrO5aXipJBY9FbV6LBpLeKHNA25Ro&s,0.7l,42%,England,London,http://www.whitleyneill.com
Xellent Swiss Edelweiss Gin,DIWISA Distillerie,Swiss Edelweiss Gin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7WQRhjwzhrjssbto5dFntujnNBiu054WTIwrPpwvna7AyxP_wrtKzeQgpTA&s,0.7l,40%,Swiss,Willisau,http://www.xellent.ch
